Unnamed: 0,Student ID,Well versed with the subject,Explains concepts in an understandable way,Use of presentations,Degree of difficulty of assignments,Solves doubts willingly,Structuring of the course,Provides support for students going above and beyond,Course recommendation based on relevance,Department,Course,Instructor,Semester,Academic Year,Gender,Attendance (%),Study Hours,GPA,Overall Satisfaction,Satisfaction Label,Student Feedback,Feedback Length
102,421,6,3,8,10,6,8,7,9,Software Engineering,Operating Systems,Dr. Grace Njeri,2024 Semester 1,Year 3,Female,78,17,3.33,7.12,Neutral,Assignments were manageable but could include more practical work.,9
435,931,6,5,7,3,6,5,6,10,Cyber Security,Machine Learning,Prof. Linda Wanjiru,2024 Semester 2,Year 3,Male,55,23,2.23,6.0,Neutral,The course was generally good but some topics needed more explanation.,11
860,193,5,9,4,6,5,7,1,9,Information Technology,Operating Systems,Prof. Michael Kimani,2023 Semester 2,Year 2,Female,45,14,3.44,5.75,Unsatisfied,I would not recommend this course without improvements.,8
270,112,7,9,6,9,1,7,1,2,Cyber Security,Database Systems,Dr. Sarah Johnson,2025 Semester 1,Year 3,Female,59,4,3.0,5.25,Unsatisfied,The lecturer moved too quickly through difficult topics.,8
106,57,10,7,6,10,4,4,2,4,Cyber Security,Artificial Intelligence,Dr. Sarah Johnson,2024 Semester 2,Year 3,Female,70,5,3.79,5.88,Unsatisfied,The lecturer moved too quickly through difficult topics.,8
71,737,7,9,4,5,5,2,2,1,Data Science,Operating Systems,Dr. Sarah Johnson,2025 Semester 1,Year 3,Male,95,21,3.84,4.38,Unsatisfied,Assignments were confusing and lacked clear instructions.,7
700,226,7,6,8,8,8,5,8,8,Information Technology,Cloud Computing,Dr. Grace Njeri,2024 Semester 2,Year 4,Female,48,17,2.11,7.25,Neutral,Overall the learning experience was acceptable.,6
20,24,9,10,6,10,2,10,1,9,Information Technology,Artificial Intelligence,Dr. Grace Njeri,2024 Semester 1,Year 4,Male,87,22,3.64,7.12,Neutral,Overall the learning experience was acceptable.,6
614,933,6,9,4,8,7,10,3,5,Information Technology,Machine Learning,Prof. Michael Kimani,2023 Semester 2,Year 2,Female,49,2,2.08,6.5,Neutral,The presentations were useful but could be more interactive.,9
121,481,9,10,8,9,1,3,1,9,Cyber Security,Cloud Computing,Prof. Linda Wanjiru,2024 Semester 2,Year 4,Female,79,23,2.73,6.25,Neutral,Assignments were manageable but could include more practical work.,9
466,105,9,10,5,1,3,1,1,2,Software Engineering,Artificial Intelligence,Prof. Michael Kimani,2024 Semester 1,Year 3,Female,57,22,3.08,4.0,Unsatisfied,The lecturer moved too quickly through difficult topics.,8
214,380,8,8,4,8,2,4,9,2,Information Technology,Cloud Computing,Dr. James Mwangi,2023 Semester 2,Year 4,Female,54,5,2.3,5.62,Unsatisfied,I would not recommend this course without improvements.,8
330,272,5,4,6,4,4,7,7,9,Cyber Security,Machine Learning,Dr. Sarah Johnson,2023 Semester 2,Year 2,Female,55,4,3.49,5.75,Unsatisfied,The lecturer moved too quickly through difficult topics.,8
458,627,10,2,4,1,6,5,9,5,Data Science,Database Systems,Dr. Sarah Johnson,2024 Semester 2,Year 4,Male,62,4,2.02,5.25,Unsatisfied,The lecturer moved too quickly through difficult topics.,8
87,446,7,8,5,10,10,2,5,9,Software Engineering,Machine Learning,Dr. Sarah Johnson,2023 Semester 2,Year 3,Female,78,6,2.34,7.0,Neutral,The course was generally good but some topics needed more explanation.,11
372,710,7,2,6,5,7,7,6,10,Data Science,Machine Learning,Prof. Michael Kimani,2024 Semester 2,Year 3,Female,83,20,3.16,6.25,Neutral,Overall the learning experience was acceptable.,6
99,780,6,4,4,10,6,5,6,8,Software Engineering,Cloud Computing,Prof. Michael Kimani,2023 Semester 2,Year 2,Male,85,21,3.43,6.12,Neutral,Teaching was satisfactory although the pace was sometimes fast.,9
871,502,6,3,5,1,8,4,7,8,Cyber Security,Computer Networks,Dr. Sarah Johnson,2025 Semester 1,Year 4,Male,86,13,3.83,5.25,Unsatisfied,More practical examples are needed during lectures.,7
663,291,10,3,7,8,2,10,3,3,Computer Science,Data Mining,Prof. Michael Kimani,2024 Semester 1,Year 4,Male,94,22,3.41,5.75,Unsatisfied,There were too few opportunities to ask questions.,8
130,580,5,2,5,8,6,5,4,9,Software Engineering,Operating Systems,Dr. Grace Njeri,2025 Semester 1,Year 4,Female,67,5,3.34,5.5,Unsatisfied,Feedback on assessments was delayed.,5
661,437,7,2,6,7,5,8,1,8,Data Science,Operating Systems,Dr. Grace Njeri,2024 Semester 2,Year 3,Female,51,23,2.79,5.5,Unsatisfied,Feedback on assessments was delayed.,5
308,664,10,8,7,4,8,2,1,10,Cyber Security,Database Systems,Prof. Michael Kimani,2025 Semester 1,Year 2,Female,83,23,2.0,6.25,Neutral,Teaching was satisfactory although the pace was sometimes fast.,9
769,451,9,3,6,10,7,8,9,10,Software Engineering,Database Systems,Dr. Sarah Johnson,2024 Semester 2,Year 4,Female,47,7,2.24,7.75,Neutral,The presentations were useful but could be more interactive.,9
343,768,6,6,6,3,5,9,8,3,Computer Science,Operating Systems,Prof. Michael Kimani,2023 Semester 2,Year 3,Female,56,20,3.07,5.75,Unsatisfied,More practical examples are needed during lectures.,7
491,878,6,5,8,4,10,3,9,10,Computer Science,Data Mining,Prof. Michael Kimani,2023 Semester 2,Year 3,Female,51,1,3.35,6.88,Neutral,Overall the learning experience was acceptable.,6
413,39,7,3,7,10,6,4,8,2,Information Technology,Operating Systems,Prof. Michael Kimani,2024 Semester 2,Year 3,Male,93,14,2.83,5.88,Unsatisfied,Course organization could be significantly improved.,6
805,540,9,10,7,3,2,4,4,5,Information Technology,Computer Networks,Dr. James Mwangi,2025 Semester 1,Year 4,Male,70,24,3.46,5.5,Unsatisfied,The presentations were difficult to follow.,6
385,991,7,4,5,8,9,8,5,1,Data Science,Data Mining,Dr. Grace Njeri,2023 Semester 2,Year 4,Female,77,4,3.04,5.88,Unsatisfied,I would not recommend this course without improvements.,8
191,459,8,5,8,6,6,1,8,4,Software Engineering,Database Systems,Prof. Linda Wanjiru,2024 Semester 1,Year 4,Female,81,17,2.15,5.75,Unsatisfied,Assignments were confusing and lacked clear instructions.,7
955,905,5,9,6,8,10,2,1,1,Software Engineering,Artificial Intelligence,Prof. Linda Wanjiru,2023 Semester 2,Year 4,Female,92,21,2.38,5.25,Unsatisfied,The presentations were difficult to follow.,6
276,416,6,2,5,8,9,6,3,7,Information Technology,Cloud Computing,Dr. James Mwangi,2024 Semester 1,Year 4,Female,59,14,3.68,5.75,Unsatisfied,I would not recommend this course without improvements.,8
160,919,10,2,8,5,6,3,8,5,Software Engineering,Computer Networks,Prof. Michael Kimani,2025 Semester 1,Year 4,Female,46,16,3.45,5.88,Unsatisfied,Feedback on assessments was delayed.,5
459,661,6,10,4,3,8,2,7,6,Software Engineering,Computer Networks,Dr. James Mwangi,2024 Semester 1,Year 4,Male,85,14,3.79,5.75,Unsatisfied,Feedback on assessments was delayed.,5
313,277,5,6,8,7,2,7,1,10,Computer Science,Database Systems,Dr. James Mwangi,2024 Semester 1,Year 4,Male,51,16,2.24,5.75,Unsatisfied,The lecturer moved too quickly through difficult topics.,8
21,509,8,2,7,5,2,3,4,4,Information Technology,Database Systems,Dr. Sarah Johnson,2024 Semester 1,Year 4,Female,76,24,3.98,4.38,Unsatisfied,The presentations were difficult to follow.,6
252,823,7,5,8,3,4,3,1,10,Cyber Security,Machine Learning,Dr. Grace Njeri,2024 Semester 1,Year 3,Male,48,20,2.42,5.12,Unsatisfied,More practical examples are needed during lectures.,7
747,21,9,7,5,3,6,6,1,6,Information Technology,Computer Networks,Prof. Linda Wanjiru,2023 Semester 2,Year 4,Female,64,8,2.02,5.38,Unsatisfied,Assignments were confusing and lacked clear instructions.,7
856,10,8,3,7,4,3,6,4,1,Cyber Security,Machine Learning,Prof. Michael Kimani,2024 Semester 1,Year 2,Female,94,24,3.99,4.5,Unsatisfied,Course organization could be significantly improved.,6
